short_team,team,rank,points
QAT,Qatar,50,1440
ECU,Ecuador,44,1464
SEN,Senegal,18,1584
NED,Netherlands,8,1695
ENG,England,5,1728
IRN,IR Iran,20,1565
USA,USA,16,1627
WAL,Wales,19,1570
ARG,Argentina,3,1774
KSA,Saudi Arabia,51,1438
MEX,Mexico,13,1645
POL,Poland,26,1549
FRA,France,4,1760
AUS,Australia,38,1489
DEN,Denmark,10,1667
TUN,Tunisia,30,1508
ESP,Spain,7,1715
CRC,Costa Rica,31,1504
GER,Germany,11,1650
JPN,Japan,24,1560
BEL,Belgium,2,1817
CAN,Canada,41,1475
MAR,Morocco,22,1563
CRO,Croatia,12,1646
BRA,Brazil,1,1841
SRB,Serbia,21,1564
SUI,Switzerland,15,1636
CMR,Cameroon,43,1471
POR,Portugal,9,1677
GHA,Ghana,61,1393
URU,Uruguay,14,1639
KOR,Korea Republic,28,1530