home_short_team,away_short_team,group,home_goals,away_goals
QAT,ECU,A,0,2
ENG,IRN,B,6,2
SEN,NED,A,0,2
USA,WAL,B,1,1
ARG,KSA,C,1,2
MEX,POL,C,0,0
DEN,TUN,D,0,0
FRA,AUS,D,4,1
MAR,CRO,F,0,0
GER,JPN,E,1,2
ESP,CRC,E,7,0
BEL,CAN,F,1,0
BRA,SRB,G,2,0
POR,GHA,H,3,2
URU,KOR,H,0,0
SUI,CMR,G,1,0
ENG,USA,B,0,0
NED,ECU,A,1,1
QAT,SEN,A,1,3
WAL,IRN,B,0,2
ARG,MEX,C,2,0
FRA,DEN,D,2,1
POL,KSA,C,2,0
TUN,AUS,D,0,1
ESP,GER,E,1,1
CRO,CAN,F,4,1
BEL,MAR,F,0,2
JPN,CRC,E,0,1
POR,URU,H,2,0
BRA,SUI,G,1,0
KOR,GHA,H,2,3
CMR,SRB,G,3,3
QAT,NED,A,0,2
ECU,SEN,A,1,2
IRN,USA,B,0,1
WAL,ENG,B,0,3
KSA,MEX,C,1,2
POL,ARG,C,0,2
TUN,FRA,D,1,0
AUS,DEN,D,1,0
CRC,GER,E,2,4
JPN,ESP,E,2,1
CAN,MAR,F,1,2
CRO,BEL,F,0,0
CMR,BRA,G,1,0
SRB,SUI,G,2,3
KOR,POR,H,2,1
GHA,URU,H,0,2