home_short_team,away_short_team,group
QAT,ECU,A
ENG,IRN,B
SEN,NED,A
USA,WAL,B
ARG,KSA,C
MEX,POL,C
DEN,TUN,D
FRA,AUS,D
MAR,CRO,F
GER,JPN,E
ESP,CRC,E
BEL,CAN,F
BRA,SRB,G
POR,GHA,H
URU,KOR,H
SUI,CMR,G
ENG,USA,B
NED,ECU,A
QAT,SEN,A
WAL,IRN,B
ARG,MEX,C
FRA,DEN,D
POL,KSA,C
TUN,AUS,D
ESP,GER,E
CRO,CAN,F
BEL,MAR,F
JPN,CRC,E
POR,URU,H
BRA,SUI,G
KOR,GHA,H
CMR,SRB,G
QAT,NED,A
ECU,SEN,A
IRN,USA,B
WAL,ENG,B
KSA,MEX,C
POL,ARG,C
TUN,FRA,D
AUS,DEN,D
CRC,GER,E
JPN,ESP,E
CAN,MAR,F
CRO,BEL,F
CMR,BRA,G
SRB,SUI,G
KOR,POR,H
GHA,URU,H